StockCode,Description,UnitPrice
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,3.872068965517241
16245A,PINK MINI STATIONERY SET W CASE,1.25
16248B,BLUE HOLE PUNCH,1.25
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,1.2665853658536586
16256B,FLOWER PENCIL/RUBBER+5 MINI PENCILS,0.5841666666666667
16256C,HEARTS PENCIL/RUBBER+5 MINI PENCILS,0.42
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,0.5223076923076924
16258B,DAISY ERASERS IN BAG,0.36
16259,PIECE OF CAMO STATIONERY SET,0.1483050847457627
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,0.2804
17003,BROCADE RING PURSE,0.6695299145299146
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,2.1
17011A,ORIGAMI VANILLA INCENSE+FLOWER,2.7708333333333335
17011B,ORIGAMI JASMINE INCENSE+FLOWER,1.2
17011C,ORIGAMI LAVENDER INCENSE+FLOWER,2.475
17011D,ORIGAMI ROSE INCENSE+FLOWER,1.8375
17011E,ORIGAMI OPIUM SCENT INCENSE+FLOWER,0.65
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,2.12
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET,2.225520833333333
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,2.1927777777777773
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET,2.016725663716814
17012D,ORIGAMI ROSE INCENSE/CANDLE SET,1.9451724137931032
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET,2.488965517241379
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,1.8778504672897196
17013B,ORIGAMI JASMINE INCENSE IN TUBE,1.7066666666666668
17013C,ORIGAMI LAVENDER INCENSE IN TUBE,0.42
17013D,ORIGAMI ROSE INCENSE IN TUBE,1.7040625
17013F,ORIGAMI SANDLEWOOD INCENSE IN TUBE,1.38
17014A,ORIGAMI VANILLA INCENSE CONES,1.66
17014C,ORIGAMI LAVENDER INCENSE CONES,1.925
17014D,ORIGAMI ROSE INCENSE CONES,1.7966666666666664
17014E,ORIGAMI OPIUM INCENSE CONES,1.4249999999999998
17014F,ORIGAMI SANDLEWOOD INCENSE CONES,1.3125
17021,NAMASTE SWAGAT INCENSE,0.29511627906976745
17027A,INCENSE BAZAAR CANNABIS,0.355
17028J,INCENSE BAZAAR PEACH,0.42
17033,"BROCADE PURSE,SMALL ARCH BUTTON",0.28542857142857136
17038,PORCELAIN BUDAH INCENSE HOLDER,0.4290909090909091
17039,INLAID WOOD INCENSE HOLDER,0.3774418604651163
17061,ASSORTED SHAPED STENCIL FOR HENNA,0.04
17084A,TRANQUILITY MASALA INCENSE,0.21
17084G,MOON INCENSE,0.21
17084J,LOVE POTION MASALA INCENSE,0.21000000000000002
17084N,FAIRY DREAMS INCENSE,0.34598930481283424
17084P,DRAGONS BLOOD INCENSE,0.34428571428571425
17084R,ASSORTED INCENSE PACK,0.20318181818181819
17090A,LAVENDER INCENSE 40 CONES IN TIN,1.2038461538461538
17090D,VANILLA INCENSE 40 CONES IN TIN,1.2366666666666668
17091A,LAVENDER INCENSE IN TIN,1.029059829059829
17091B,JASMINE TEA INCENSE IN TIN,1.4219230769230768
17091F,SANDALWOOD INCENSE IN TIN,1.58
17091J,VANILLA INCENSE IN TIN,0.8962295081967213
17096,ASSORTED LAQUERED INCENSE HOLDERS,0.3223684210526316
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",2.55
17108D,FLOWER FAIRY SUMMER BOUQUET SACHET,0.42
17109A,FLOWER FAIRY INCENSE LILY,1.1861538461538461
17109B,FLOWER FAIRY INCENSE LAVENDER,1.316470588235294
17109C,FLOWER FAIRY INCENSE ROSE,1.2662499999999999
17109D,FLOWER FAIRY INCENSE BOUQUET,1.41325
17129C,SKY BLUE COLOUR GLASS GEMS IN BAG,0.8309090909090909
17129D,CLEAR COLOUR GLASS GEMS IN BAG,1.2087179487179487
17129F,DEEP BLUE GLASS GEMS IN BAG,1.4001351351351352
17136A,BLUE STONES ON WIRE FOR CANDLE,0.10676470588235294
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,0.4168674698795181
17164D,ASS COL SMALL SAND FROG P'WEIGHT,0.41516129032258065
17165B,ASS COL LARGE SAND GECKO P'WEIGHT,1.0304761904761905
17165D,ASS COL LARGE SAND FROG P'WEIGHT,1.0351041666666667
17174,ASSTD RASTA KEY-CHAINS,0.42
17178,FLAT PALM T-LIGHT HOLDER,1.234
17181,CIRCLE OF FRIENDS CANDLE HOLDER,3.771641791044776
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,3.75
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,0.2404
18010,ASSORTED FRAGRANCE BATH CONFETTI,0.5566666666666666
18094C,WHITE/BLUE RECT CERAMIC OIL BURNER,1.8806060606060606
18096C,WHITE ROUND PORCELAIN TLIGHT HOLDER,3.7471428571428573
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER,2.55
18097B,BLUE TALL PORCELAIN T-LIGHT HOLDER,2.55
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,2.821542056074766
18098A,PINK PORCELAIN B'FLY OIL BURNER,2.95
18098B,BLUE PORCELAIN B'FLY OIL BURNER,2.9500000000000006
18098C,PORCELAIN BUTTERFLY OIL BURNER,3.9080211081794194
20615,BLUE SPOTTY PASSPORT COVER,2.625306122448979
20616,CHERRY BLOSSOM PASSPORT COVER,2.0985123966942147
20617,FIRST CLASS PASSPORT COVER,2.3980952380952383
20618,QUEEN OF THE SKIES PASSPORT COVER,2.278905109489051
20619,TROPICAL PASSPORT COVER,2.341494845360825
20620,RED SPOTTY PASSPORT COVER,4.104285714285714
20621,ECONOMY PASSPORT COVER,2.3584848484848484
20622,VIPPASSPORT COVER,2.634453125
20652,BLUE SPOTTY LUGGAGE TAG,1.410635838150289
20653,CHERRY BLOSSOM LUGGAGE TAG,1.3807407407407408
20654,FIRST CLASS LUGGAGE TAG,1.3760330578512396
20655,QUEEN OF SKIES LUGGAGE TAG,1.70125
20657,TROPICAL LUGGAGE TAG,1.3230508474576272
20658,RED SPOTTY LUGGAGE TAG,1.6790304709141275
20659,ECONOMY LUGGAGE TAG,1.5739285714285713
20660,VIP LUGGAGE TAG,1.25
20661,BLUE SPOTTY PURSE,2.982578125
20662,FIRST CLASS HOLIDAY PURSE,2.6675999999999997
20663,QUEEN OF THE SKIES HOLIDAY PURSE,2.533478260869565
20664,TROPICAL HOLIDAY PURSE,2.712903225806452
20665,RED SPOTTY PURSE,3.80228813559322
20666,ECONOMY HOLIDAY PURSE,2.360851063829787
20667,CHERRY BLOSSOM PURSE,2.6437500000000003
20668,DISCO BALL CHRISTMAS DECORATION,0.165427807486631
20669,RED HEART LUGGAGE TAG,1.595590909090909
20670,VIP HOLIDAY PURSE,2.8131372549019606
20671,BLUE TEATIME PRINT BOWL,1.5767832167832168
20672,PINK TEATIME PRINT BOWL,1.75
20673,STRAWBERRIES PRINT BOWL,1.25
20674,GREEN SPOTTY BOWL,1.5041577825159915
20675,BLUE SPOTTY BOWL,1.5034936350777934
20676,RED SPOTTY BOWL,1.5457055837563451
20677,PINK SPOTTY BOWL,1.581062176165803
20678,LARGE BLACK DIAMANTE HAIRSLIDE,1.65
20679,EDWARDIAN PARASOL RED,6.653420689655173
20680,PINK FLOWERS CHILDS UMBRELLA,3.25
20681,PINK SPOTTY CHILDS UMBRELLA,3.823296089385475
20682,RED SPOTTY CHILDS UMBRELLA,3.8369771241830066
20683,RAIN GIRL CHILDS UMBRELLA,3.25
20684,STRAWBERRY DREAM CHILDS UMBRELLA,3.5708791208791206
20685,RED SPOTTY COIR DOORMAT,8.394057471264368
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,3.6919689119170984
20688,BEAUTY SPEED EXPRESSO CUPS,6.004545454545454
20689,RETRO SISTERS EXPRESSO CUPS,6.075952380952381
20692,FLORAL ELEPHANT SOFT TOY,4.883146853146853
20693,FLORAL DINOSAUR GREEN,5.157368421052632
20694,FLORAL PINK MONSTER,4.386785714285714
20695,FLORAL BLUE MONSTER,4.837142857142857
20696,FLORAL SOFT CAR TOY,4.625666666666667
20697,LITTLE GREEN MONSTER SOFT TOY,2.507142857142857
20698,LITTLE PINK MONSTER SOFT TOY,2.509090909090909
20699,MOUSEY LONG LEGS SOFT TOY,3.062134831460674
20700,GREEN CAT FLORAL CUSHION COVER,5.39152380952381
20701,PINK CAT FLORAL CUSHION COVER,4.416
20702,PINK PADDED MOBILE,4.301968503937008
20703,BLUE PADDED SOFT MOBILE,4.259347826086957
20704,MR ROBOT SOFT TOY,6.378024691358025
20705,MRS ROBOT SOFT TOY,5.361851851851852
20707,CRAZY DAISY HEART DECORATION,1.2244334975369457
20711,JUMBO BAG TOYS,2.71680412371134
20712,JUMBO BAG WOODLAND ANIMALS,2.728948824343015
20713,JUMBO BAG OWLS,2.577913238593867
20714,POSY SHOPPER BAG,0.9467857142857142
20715,LITTLE FLOWER SHOPPER BAG,1.06
20716,PARTY FOOD SHOPPER BAG,1.4427888446215138
20717,STRAWBERRY SHOPPER BAG,1.5907792207792208
20718,RED SPOTTY SHOPPER BAG,1.652086389568052
20719,WOODLAND CHARLOTTE BAG,1.1491181988742962
20721,OWLS CHARLOTTE BAG,0.85
20723,STRAWBERRY CHARLOTTE BAG,1.1299148936170211
20724,RED SPOTTY CHARLOTTE BAG,1.0969985639061752
20725,LUNCH BAG RED SPOTTY,2.041902208201893
20726,LUNCH BAG WOODLAND,2.1028722334004026
20727,LUNCH BAG  BLACK SKULL.,2.015267674703719
20728,LUNCH BAG CARS BLUE,1.9671087160262415
20729,RED SPOTTY CANDY BAG,1.3983870967741936
20730,STRAWBERRY CANDY BAG,1.0894230769230768
20731,POSY CANDY BAG,1.3978378378378378
20733,GOLD MINI TAPE MEASURE,0.8513175675675675
20734,SILVER MINI TAPE MEASURE,1.3121848739495798
20735,BLACK MINI TAPE MEASURE,1.20519801980198
20736,PINK MINI TAPE MEASURE,0.8431578947368421
20737,RED MINI TAPE MEASURE,1.7
20738,GREEN MINI TAPE MEASURE,0.9545945945945946
20739,*USB Office Glitter Lamp,8.65
20747,PICCADILLY TEA SET,15.682972972972973
20748,KENSINGTON COFFEE SET,12.383224043715847
20749,ASSORTED COLOUR MINI CASES,8.087551282051281
20750,RED/WHITE DOT MINI CASES,8.107410617551462
20751,FUNKY WASHING UP GLOVES ASSORTED,2.319215291750503
20752,RETRO BLUE SPOTTY WASHING UP GLOVES,2.3754570637119112
20753,RETRO PINK SPOT WASHING UP GLOVES,2.650877192982456
20754,RETRO RED SPOTTY WASHING UP GLOVES,2.485300925925926
20755,BLUE PAISLEY POCKET BOOK,0.9081147540983606
20756,GREEN FERN POCKET BOOK,0.8060937499999999
20757,RED DAISY POCKET BOOK,0.8440506329113923
20758,ABSTRACT CIRCLES POCKET BOOK,0.8192857142857142
20759,CHRYSANTHEMUM POCKET BOOK,0.7725396825396825
20760,GARDEN PATH POCKET BOOK,0.7926829268292683
20761,BLUE PAISLEY SKETCHBOOK,4.00722972972973
20762,GREEN FERN SKETCHBOOK,3.835474452554745
20763,DAISY SKETCHBOOK,3.8051999999999997
20764,ABSTRACT CIRCLES SKETCHBOOK,4.176666666666667
20765,CHRYSANTHEMUM SKETCHBOOK,3.9018791946308724
20766,GARDEN PATH SKETCHBOOK,3.9506329113924052
20767,BLUE PAISLEY JOURNAL,2.6790055248618785
20768,GREEN FERN JOURNAL,2.557046979865772
20769,DAISY JOURNAL,2.561625
20770,ABSTRACT CIRCLE JOURNAL,2.467892156862745
20771,CHRYSANTHEMUM  JOURNAL,2.5678014184397164
20772,GARDEN PATH JOURNAL,2.5090909090909093
20773,BLUE PAISLEY NOTEBOOK,1.7414876033057851
20774,GREEN FERN NOTEBOOK,1.7382644628099173
20775,DAISY NOTEBOOK,1.7398230088495574
20776,ABSTRACT CIRCLES NOTEBOOK,1.7828235294117647
20777,CHRYSANTHEMUM NOTEBOOK,1.7795348837209302
20778,GARDEN PATH NOTEBOOK,1.8046236559139783
20779,PINK EAR MUFF HEADPHONES,5.07
20780,BLACK EAR MUFF HEADPHONES,6.881666666666666
20781,GOLD EAR MUFF HEADPHONES,6.3365625
20782,CAMOUFLAGE EAR MUFF HEADPHONES,6.835056179775282
20783,HEART EAR MUFF HEADPHONES,7.4847457627118645
20784,RED RETRO BAR STOOL,36.51894736842105
20785,FUSCHIA RETRO BAR STOOL,37.622368421052634
20786,BLACK RETRO BAR STOOL,37.057647058823534
20787,BLUE RETRO BAR STOOL,38.021875
20791,BLUE TILED SET OF 3 DRAWERS,12.75
20793,BLUE TILED TRAY,8.84
20794,BLUE  TILE HOOK,3.3750943396226414
20795,LARGE BLUE PROVENCAL CERAMIC BALL,2.8765625
20796,SMALL BLUE PROVENCAL CERAMIC BALL,2.3495454545454546
20798,CLEAR MILKSHAKE GLASS,2.9155445544554457
20799,PINK MILKSHAKE GLASS,3.1278571428571427
20800,LARGE GLASS SUNDAE DISH CLEAR,3.618
20801,LARGE PINK GLASS SUNDAE DISH,2.1827350427350427
20802,SMALL GLASS SUNDAE DISH CLEAR,2.0786666666666664
20803,SMALL PINK GLASS SUNDAE DISH,1.6662068965517243
20804,GLASS CHICKEN BUTTER DISH,2.659032258064516
20812,EMBOSSED FLOWER TRELLIS PHOTO FRAME,2.55
20814,SILVER FINCH DECORATION,1.212
20816,GOLD FLOWER CUSHION COVER,5.55
20818,GOLD TEDDY BEAR,4.491666666666666
20819,SILVER TEDDY BEAR,3.888
20820,SILVER LOOKING MIRROR,4.95
20821,GOLDIE LOOKING MIRROR,7.567857142857143
20822,SILVER WINE GOBLET,4.65
20823,GOLD WINE GOBLET,3.7010000000000005
20825,GOLD WINE GLASS,6.44625
20826,SILVER APERITIF GLASS,1.3478571428571429
20827,GOLD APERITIF GLASS,1.63375
20828,GLITTER BUTTERFLY CLIPS,2.9327821939586642
20829,GLITTER HANGING BUTTERFLY STRING,2.4072673267326734
20830,SILVER PHOTO FRAME,2.974022988505747
20831,GOLD PHOTO FRAME,2.714938271604938
20832,RED FLOCK LOVE HEART PHOTO FRAME,0.9311111111111111
20833,SHAKER THROW  QUILTED,31.350000000000005
20835,FRENCH LATTICE CUSHION COVER,2.87
20836,FRENCH PAISLEY CUSHION COVER,1.185
20837,FRENCH FLORAL CUSHION COVER,1.1844444444444444
20838,FRENCH LATTICE CUSHION COVER,1.9290625000000001
20839,FRENCH PAISLEY CUSHION COVER,2.5029661016949154
20840,FRENCH FLORAL CUSHION COVER,2.1373195876288658
20845,ZINC HEART LATTICE 2 WALL PLANTER,7.169583333333333
20846,ZINC HEART LATTICE T-LIGHT HOLDER,1.5538728323699422
20847,ZINC HEART LATTICE CHARGER LARGE,4.8500000000000005
20848,ZINC HEART LATTICE CHARGER SMALL,2.9500000000000006
20849,ZINC HEART LATTICE DOUBLE PLANTER,4.047083333333333
20850,ZINC HEART LATTICE PLANTER BOWL,2.8434782608695657
20851,ZINC HEART LATTICE TRAY OVAL,5.9656666666666665
20854,BLUE PATCH PURSE PINK HEART,1.663272727272727
20855,PINK PATCH PURSE BLUE HEART,1.6499999999999997
20856,DENIM PATCH PURSE PINK BUTTERFLY,1.6598412698412697
20857,BLUE ROSE PATCH PURSE PINK BUTTERFL,1.65
20858,SILVER PURSE GOLD PINK BUTTERFLY,1.65
20860,GOLD COSMETICS BAG WITH BUTTERFLY,2.1
20861,GOLD COSMETIC BAG PINK STAR,2.1
20862,PINK PATCH PENCIL CASE BLUE HEART,2.607894736842105
20863,BLUE PATCH PENCIL CASE PINK HEART,2.413921568627451
20864,DENIM PATCH PENCIL CASE BUTTERFLY,2.1967741935483875
20865,PATCHWORK PENCIL CASE BUTTERFLY,2.181142857142857
20866,BLUE ROSE FABRIC MIRROR,1.4835416666666665
20867,PINK ROSE FABRIC MIRROR,1.3800645161290321
20868,SILVER FABRIC MIRROR,0.9214084507042254
20869,GOLD FABRIC MIRROR,0.9422222222222223
20870,OPULENT VELVET CANDLE IN BOX,2.8187499999999996
20871,OPULENT VELVET SET/3 CANDLES,2.6793893129770994
20877,MODERN CHRISTMAS BAUBLE CANDLE,0.42000000000000004
20878,SET/9 CHRISTMAS T-LIGHTS SCENTED,1.4786206896551723
20879,TREE OF NOAH FESTIVE SCENTED CANDLE,1.8275
20881,MODERN CHRISTMAS TREE CANDLE,0.85
20882,MODERN CHRISTMAS TREE CANDLE,2.95
20884,MODERN CHRISTMAS TREE CANDLE,2.1
20885,BOX OF 3 PEBBLE CANDLES,2.95
20886,BOX OF 9 PEBBLE CANDLES,2.385828025477707
20887,BOX OF 6 PEBBLE CANDLES,5.615
20888,SET 3 JARDIN DE FEMME SCENT CANDLES,3.8852631578947374
20889,JARDIN DE FEMME SCENTED CANDLE,2.3376923076923077
20890,SMALL GLASS ROSE SCENTED CANDLE,2.9925
20891,LARGE GLASS ROSE SCENTED CANDLE,8.126666666666667
20892,SET/3 TALL GLASS CANDLE HOLDER PINK,15.232444444444443
20893,HANGING BAUBLE T-LIGHT HOLDER SMALL,2.8593975903614455
20894,HANGING BAUBLE T-LIGHT HOLDER LARGE,3.430602409638554
20895,VINTAGE NOTEBOOK FRENCH LETTER,2.95
20896,VINTAGE NOTEBOOK PINK FLOWER,2.95
20897,VINTAGE NOTEBOOK PARIS DAYS,3.8242857142857147
20898,VINTAGE NOTEBOOK TRAVELOGUE,3.1898214285714284
20899,VINTAGE NOTEBOOK RED ROSE,2.95
20901,VINTAGE KEEPSAKE BOX PINK FLOWER,9.428676470588234
20902,VINTAGE KEEPSAKE BOX PARIS DAYS,9.306034482758621
20903,VINTAGE KEEPSAKE BOX TRAVELOGUE,7.171494252873563
20905,VINTAGE KEEPSAKE BOX BEAUTY GIRL,6.35
20906,VINTAGE NOTEBOOK BEAUTY GIRL,4.0925
20910,VINTAGE PHOTO ALBUM PARIS DAYS,8.377872340425531
20913,SET/5 BLUE SPOTTY LID GLASS BOWLS,3.8030232558139536
20914,SET/5 RED SPOTTY LID GLASS BOWLS,3.2110093023255812
20931,BLUE POT PLANT CANDLE,4.714730538922156
20932,PINK POT PLANT CANDLE,4.632413793103448
20933,YELLOW POT PLANT CANDLE,4.1007547169811325
20934,SET/3 POT PLANT CANDLES,7.080722891566266
20935,ROUND CACTUS CANDLE,3.0745833333333334
20936,FORKED CACTUS CANDLE,3.640759493670886
20939,ORANGE CANDLE,0.85
20940,SET/6 GARDEN GNOME T-LIGHT CANDLES,3.4316666666666666
20941,FROG CANDLE,1.7460769230769229
20942,SET/6 GINGERBREAD TREE T-LIGHTS,1.25
20943,SET/6 GINGERBREAD STAR T-LIGHTS,1.6658333333333333
20950,SET/6  ANGEL T-LIGHTS WHITE/GOLD,0.7546428571428571
20952,PORCELAIN CHERUB BELL SMALL,0.693076923076923
20953,PORCELAIN CHERUB BELL LARGE,1.65
20954,*USB Office Mirror Ball,8.530000000000001
20956,PORCELAIN T-LIGHT HOLDERS ASSORTED,1.7483673469387753
20957,PORCELAIN HANGING BELL SMALL,1.569375
20958,PORCELAIN HANGING BELL LARGE,1.92
20960,WATERMELON BATH SPONGE,1.6572018348623851
20961,STRAWBERRY BATH SPONGE,1.7057307692307693
20963,APPLE BATH SPONGE,1.7618410852713178
20964,POLYESTER FILLER PAD 60x40cm,2.55
20966,SANDWICH BATH SPONGE,1.7981411764705881
20967,GREY FLORAL FELTCRAFT SHOULDER BAG,3.9888118811881186
20968,GREEN FLORAL FELTCRAFT SHOULDER BAG,4.749499999999999
20969,RED FLORAL FELTCRAFT SHOULDER BAG,4.242658022690438
20970,PINK FLORAL FELTCRAFT SHOULDER BAG,4.14098445595855
20971,PINK BLUE FELT CRAFT TRINKET BOX,1.406936170212766
20972,PINK CREAM FELT CRAFT TRINKET BOX,1.4021393384940184
20973,12 PENCIL SMALL TUBE WOODLAND,0.7807906295754026
20974,12 PENCILS SMALL TUBE SKULL,0.7459228971962617
20975,12 PENCILS SMALL TUBE RED SPOTTY,0.7380658873538788
20976,12 PENCILS SMALL TUBE POSY,0.748421052631579
20977,36 PENCILS TUBE WOODLAND,1.5648785425101213
20978,36 PENCILS TUBE SKULLS,1.5856084656084655
20979,36 PENCILS TUBE RED SPOTTY,1.5575880758807588
20980,36 PENCILS TUBE POSY,1.4020000000000001
20981,12 PENCILS TALL TUBE WOODLAND,0.9613984674329501
20982,12 PENCILS TALL TUBE SKULLS,0.9602030456852793
20983,12 PENCILS TALL TUBE RED SPOTTY,0.9560242792109256
20984,12 PENCILS TALL TUBE POSY,0.5343700787401574
20985,HEART CALCULATOR,1.5358823529411765
20986,BLUE CALCULATOR RULER,1.554354066985646
20987,GEISHA GIRL CHOPSTICKS SET/5,3.0181818181818185
20988,TRELLIS FLOWER CHOPSTICKS SET/5,1.9500000000000002
20989,URBAN CHIC CHOPSTICKS SET/5,2.264310344827586
20990,SPRING FLOWER CHOPSTICKS SET/5,2.244859813084112
20991,JAZZ HEARTS MAGNETIC MEMO PAD,0.9515625000000001
20992,JAZZ HEARTS PURSE NOTEBOOK,0.6853215077605321
20993,JAZZ HEARTS MEMO PAD,0.8425
20994,JAZZ HEARTS SPIRAL NOTEPAD,0.85
20996,JAZZ HEARTS ADDRESS BOOK,0.3785459940652819
20997,ROSE DU SUD CUSHION COVER,4.718433734939759
20998,ROSE DU SUD OVEN GLOVE,2.9443307086614174
21000,ROSE DU SUD COSMETICS BAG,3.76
21001,ROSE DU SUD WASHBAG,4.899222222222222
21002,ROSE DU SUD DRAWSTRING BAG,3.536141304347826
21003,ROSE DU SUD CUSHION COVER,5.928125
21004,ROSE DU SUD CHILDS APRON,4.793943661971831
21007,ETCHED GLASS DROPLET DECORATION,1.18
21008,ETCHED GLASS HEART TREE DECORATION,2.51
21009,ETCHED GLASS STAR TREE DECORATION,1.476111111111111
21010,ETCHED GLASS BIRD TREE DECORATION,1.476046511627907
