StockCode,Forecast_Demand,Safety_Stock,Reorder_Point,Inventory_Position,Reorder_Quantity,Risk_Category,Risk_Action,Current_Stock_Value_GBP,Reorder_Capital_Required_GBP,Excess_Capital_Tied_Up_GBP,Lead_Time_Weeks
21810,603.5,565.0,1772.0,1545.0,869.0,HIGH STOCKOUT RISK,REORDER NOW,1493.2296961325967,839.8812983425415,0.0,2
20724,571.0,362.0,1504.0,1374.0,910.0,HIGH STOCKOUT RISK,REORDER NOW,1507.2760268070847,998.2686931546194,0.0,2
22178,540.5,645.0,1726.0,1279.0,883.0,HIGH STOCKOUT RISK,REORDER NOW,2010.209187898089,1387.814474522293,0.0,2
22865,501.25,778.0,1780.5,1158.0,847.0,HIGH STOCKOUT RISK,REORDER NOW,2723.76188976378,1992.250708661417,0.0,2
22961,480.25,460.0,1420.5,1208.0,713.0,HIGH STOCKOUT RISK,REORDER NOW,2278.5043878389483,1344.845718981101,0.0,2
84946,463.75,596.0,1523.5,951.0,904.0,HIGH STOCKOUT RISK,REORDER NOW,1449.971489361702,1378.311489361702,0.0,2
79321,458.75,417.0,1334.5,794.0,1041.0,HIGH STOCKOUT RISK,REORDER NOW,4974.32117039587,6521.7485370051645,0.0,2
21166,445.0,428.0,1318.0,1017.0,763.0,HIGH STOCKOUT RISK,REORDER NOW,2310.950392561984,1733.7808746556473,0.0,2
22336,442.0,308.0,1192.0,710.0,1058.0,HIGH STOCKOUT RISK,REORDER NOW,520.4968609865471,775.6136322869955,0.0,2
22338,435.5,385.0,1256.0,316.0,1426.0,HIGH STOCKOUT RISK,REORDER NOW,175.25405797101448,790.8616666666666,0.0,2
21790,428.5,470.0,1327.0,511.0,1203.0,HIGH STOCKOUT RISK,REORDER NOW,514.7303530633437,1211.7820249221184,0.0,2
21731,419.5,545.0,1384.0,1070.0,608.0,HIGH STOCKOUT RISK,REORDER NOW,2383.882699619772,1354.5800760456275,0.0,2
22560,412.25,372.0,1196.5,1077.0,572.0,HIGH STOCKOUT RISK,REORDER NOW,1475.49,783.6400000000001,0.0,2
22114,388.5,379.0,1156.0,1122.0,432.0,HIGH STOCKOUT RISK,REORDER NOW,5348.518248447205,2059.3225341614907,0.0,2
21914,382.25,326.0,1090.5,1040.0,489.0,HIGH STOCKOUT RISK,REORDER NOW,1505.4238532110091,707.8387155963303,0.0,2
21181,374.0,503.0,1251.0,1039.0,457.0,HIGH STOCKOUT RISK,REORDER NOW,2455.685515184382,1080.1234652928415,0.0,2
22413,372.5,352.0,1097.0,853.0,637.0,HIGH STOCKOUT RISK,REORDER NOW,2810.4537136465324,2098.779619686801,0.0,2
22727,368.5,356.0,1093.0,897.0,577.0,HIGH STOCKOUT RISK,REORDER NOW,3907.4983227176217,2513.5189879688605,0.0,2
22993,361.5,296.0,1019.0,632.0,814.0,HIGH STOCKOUT RISK,REORDER NOW,945.3201819836214,1217.5484622383983,0.0,2
22112,346.75,305.0,998.5,479.0,908.0,HIGH STOCKOUT RISK,REORDER NOW,2797.9812286689416,5303.897610921502,0.0,2
84378,344.5,282.0,971.0,778.0,600.0,HIGH STOCKOUT RISK,REORDER NOW,1239.507399842891,955.9183032207384,0.0,2
21811,342.0,360.0,1044.0,610.0,758.0,HIGH STOCKOUT RISK,REORDER NOW,703.2581453634085,873.8847117794486,0.0,2
22457,336.25,255.0,927.5,575.0,770.0,HIGH STOCKOUT RISK,REORDER NOW,2014.296531100479,2697.4057894736848,0.0,2
22065,333.75,633.0,1300.5,563.0,772.0,HIGH STOCKOUT RISK,REORDER NOW,797.4169484536081,1093.4385154639174,0.0,2
21326,330.25,323.0,983.5,792.0,529.0,HIGH STOCKOUT RISK,REORDER NOW,639.5667969924812,427.18539849624057,0.0,2
85152,326.0,269.0,921.0,410.0,894.0,HIGH STOCKOUT RISK,REORDER NOW,942.6758783783782,2055.4932567567566,0.0,2
22469,324.25,732.0,1380.5,1270.0,27.0,HIGH STOCKOUT RISK,REORDER NOW,2436.856955736224,51.80719512195122,0.0,2
20973,320.0,367.0,1007.0,450.0,830.0,HIGH STOCKOUT RISK,REORDER NOW,351.3557833089312,648.0562225475842,0.0,2
22489,319.75,372.0,1011.5,941.0,338.0,HIGH STOCKOUT RISK,REORDER NOW,480.73029887920296,172.67464508094645,0.0,2
22411,315.75,366.0,997.5,676.0,587.0,HIGH STOCKOUT RISK,REORDER NOW,1653.0427073061408,1435.4083863738235,0.0,2
21977,311.5,930.0,1553.0,1357.0,0.0,HIGH STOCKOUT RISK,REORDER NOW,963.9298870333988,0.0,0.0,2
71477,308.25,406.0,1022.5,632.0,601.0,HIGH STOCKOUT RISK,REORDER NOW,2333.519910213244,2219.0592817059487,0.0,2
84947,308.25,314.0,930.5,730.0,503.0,HIGH STOCKOUT RISK,REORDER NOW,1050.1204225352112,723.5761267605634,0.0,2
82600,306.25,249.0,861.5,801.0,424.0,HIGH STOCKOUT RISK,REORDER NOW,1921.7671111111115,1017.264987654321,0.0,2
20719,300.0,285.0,885.0,382.0,818.0,HIGH STOCKOUT RISK,REORDER NOW,438.96315196998114,939.9786866791744,0.0,2
20727,285.0,440.0,1010.0,552.0,588.0,HIGH STOCKOUT RISK,REORDER NOW,1112.427756436453,1184.9773927257866,0.0,2
84029E,284.75,404.0,973.5,867.0,272.0,HIGH STOCKOUT RISK,REORDER NOW,3866.317819420784,1212.9624531516183,0.0,2
22621,284.25,218.0,786.5,715.0,422.0,HIGH STOCKOUT RISK,REORDER NOW,1296.098553948832,764.9700556173525,0.0,2
22149,283.75,311.0,878.5,482.0,653.0,HIGH STOCKOUT RISK,REORDER NOW,1146.094135759272,1552.6959972008397,0.0,2
22646,273.5,219.0,766.0,452.0,642.0,HIGH STOCKOUT RISK,REORDER NOW,839.2393945945946,1192.0170162162162,0.0,2
21498,268.75,396.0,933.5,502.0,573.0,HIGH STOCKOUT RISK,REORDER NOW,209.58032298136644,239.2221614906832,0.0,2
21829,267.75,275.0,810.5,643.0,428.0,HIGH STOCKOUT RISK,REORDER NOW,169.41585131894482,112.7682494004796,0.0,2
22988,267.5,442.0,977.0,567.0,503.0,HIGH STOCKOUT RISK,REORDER NOW,846.272152173913,750.7493695652174,0.0,2
22356,267.25,249.0,783.5,425.0,644.0,HIGH STOCKOUT RISK,REORDER NOW,489.6282287822878,741.9307749077491,0.0,2
21819,260.0,263.0,783.0,550.0,490.0,HIGH STOCKOUT RISK,REORDER NOW,391.2918287937743,348.6054474708171,0.0,2
22597,258.0,246.0,762.0,737.0,295.0,HIGH STOCKOUT RISK,REORDER NOW,578.3601337792642,231.5010033444816,0.0,2
22382,257.5,246.0,761.0,384.0,646.0,HIGH STOCKOUT RISK,REORDER NOW,727.0435020519835,1223.0992248062014,0.0,2
21479,256.25,317.0,829.5,636.0,389.0,HIGH STOCKOUT RISK,REORDER NOW,2975.574282722513,1819.9660314136129,0.0,2
21891,255.25,364.0,874.5,791.0,230.0,HIGH STOCKOUT RISK,REORDER NOW,1212.125860091743,352.4512614678899,0.0,2
22386,247.25,582.0,1076.5,1062.0,0.0,HIGH STOCKOUT RISK,REORDER NOW,2557.521918047079,0.0,0.0,2
21398,245.25,220.0,710.5,491.0,490.0,HIGH STOCKOUT RISK,REORDER NOW,928.917874015748,927.0259842519685,0.0,2
21733,240.0,384.0,864.0,433.0,527.0,HIGH STOCKOUT RISK,REORDER NOW,1338.6356072210065,1629.2401039387307,0.0,2
22111,237.75,328.0,803.5,399.0,552.0,HIGH STOCKOUT RISK,REORDER NOW,2284.1673478760044,3160.051067738232,0.0,2
22574,237.0,237.0,711.0,610.0,338.0,HIGH STOCKOUT RISK,REORDER NOW,649.6355450236966,359.961990521327,0.0,2
22144,236.25,306.0,778.5,424.0,521.0,HIGH STOCKOUT RISK,REORDER NOW,1098.1541192787795,1349.3827739251042,0.0,2
22154,234.5,330.0,799.0,586.0,352.0,HIGH STOCKOUT RISK,REORDER NOW,310.40915451895046,186.45737609329447,0.0,2
22153,233.0,228.0,694.0,490.0,442.0,HIGH STOCKOUT RISK,REORDER NOW,267.32953020134227,241.14214765100667,0.0,2
21592,231.0,203.0,665.0,191.0,733.0,HIGH STOCKOUT RISK,REORDER NOW,227.90840163934425,874.643237704918,0.0,2
22030,229.75,322.0,781.5,641.0,278.0,HIGH STOCKOUT RISK,REORDER NOW,297.77028735632183,129.14218390804598,0.0,2
22666,226.75,316.0,769.5,469.0,438.0,HIGH STOCKOUT RISK,REORDER NOW,1677.2808592848903,1566.4158131487889,0.0,2
22610,225.5,472.0,923.0,483.0,419.0,HIGH STOCKOUT RISK,REORDER NOW,269.19311418685123,233.52363321799308,0.0,2
84992,225.5,716.0,1167.0,1063.0,0.0,HIGH STOCKOUT RISK,REORDER NOW,729.5251358515575,0.0,0.0,2
21705,224.5,197.0,646.0,419.0,479.0,HIGH STOCKOUT RISK,REORDER NOW,755.3688841201716,863.5362660944206,0.0,2
22960,221.75,212.0,655.5,541.0,346.0,HIGH STOCKOUT RISK,REORDER NOW,2704.6789574979957,1729.7946752205294,0.0,2
20992,219.75,202.0,641.5,383.0,496.0,HIGH STOCKOUT RISK,REORDER NOW,262.47813747228383,339.919467849224,0.0,2
22138,217.75,196.0,631.5,291.0,580.0,HIGH STOCKOUT RISK,REORDER NOW,1547.9005573770492,3085.16262295082,0.0,2
22726,215.0,244.0,674.0,392.0,468.0,HIGH STOCKOUT RISK,REORDER NOW,1747.646717557252,2086.476183206107,0.0,2
22152,203.0,291.0,697.0,277.0,535.0,HIGH STOCKOUT RISK,REORDER NOW,143.05462450592887,276.29683794466405,0.0,2
22759,201.0,323.0,725.0,421.0,383.0,HIGH STOCKOUT RISK,REORDER NOW,830.1551779141105,755.2243067484662,0.0,2
22551,197.0,274.0,668.0,392.0,396.0,HIGH STOCKOUT RISK,REORDER NOW,709.3522522522522,716.5905405405406,0.0,2
22835,197.0,223.0,617.0,198.0,590.0,HIGH STOCKOUT RISK,REORDER NOW,1114.372478134111,3320.604859086492,0.0,2
22754,193.75,173.0,560.5,157.0,618.0,HIGH STOCKOUT RISK,REORDER NOW,156.09204819277107,614.4260240963855,0.0,2
21818,189.0,196.0,574.0,434.0,322.0,HIGH STOCKOUT RISK,REORDER NOW,312.914,232.162,0.0,2
21641,187.75,159.0,534.5,369.0,382.0,HIGH STOCKOUT RISK,REORDER NOW,452.3075675675676,468.2425225225225,0.0,2
22792,187.75,155.0,530.5,269.0,482.0,HIGH STOCKOUT RISK,REORDER NOW,302.31304182509507,541.6910266159696,0.0,2
20713,186.25,425.0,797.5,520.0,225.0,HIGH STOCKOUT RISK,REORDER NOW,1340.514884068811,580.0304786836201,0.0,2
22464,182.25,154.0,518.5,270.0,459.0,HIGH STOCKOUT RISK,REORDER NOW,513.220341047503,872.4745797807551,0.0,2
22581,181.75,181.0,544.5,269.0,458.0,HIGH STOCKOUT RISK,REORDER NOW,251.64915601023017,428.4584143222506,0.0,2
21495,181.25,197.0,559.5,290.0,435.0,HIGH STOCKOUT RISK,REORDER NOW,121.26153846153844,181.89230769230767,0.0,2
22045,181.25,258.0,620.5,369.0,356.0,HIGH STOCKOUT RISK,REORDER NOW,154.57857740585771,149.13271966527196,0.0,2
22075,180.5,157.0,518.0,149.0,573.0,HIGH STOCKOUT RISK,REORDER NOW,269.8373626373626,1037.6967032967032,0.0,2
51014A,180.0,197.0,557.0,460.0,260.0,HIGH STOCKOUT RISK,REORDER NOW,379.34263157894736,214.41105263157897,0.0,2
22644,179.0,155.0,513.0,480.0,236.0,HIGH STOCKOUT RISK,REORDER NOW,949.2701421800948,466.7244865718799,0.0,2
21703,177.75,439.0,794.5,472.0,239.0,HIGH STOCKOUT RISK,REORDER NOW,233.93802047781568,118.45590443686008,0.0,2
22544,176.5,301.0,654.0,444.0,262.0,HIGH STOCKOUT RISK,REORDER NOW,226.55616279069767,133.6885465116279,0.0,2
16237,175.75,220.0,571.5,543.0,160.0,HIGH STOCKOUT RISK,REORDER NOW,160.75755102040813,47.36870748299319,0.0,2
21497,175.0,397.0,747.0,420.0,280.0,HIGH STOCKOUT RISK,REORDER NOW,175.4301030927835,116.95340206185566,0.0,2
79000,174.0,312.0,660.0,527.0,169.0,HIGH STOCKOUT RISK,REORDER NOW,716.5911777777778,229.7986888888889,0.0,2
22422,173.0,136.0,482.0,295.0,397.0,HIGH STOCKOUT RISK,REORDER NOW,291.18138888888893,391.8610555555556,0.0,2
22299,172.0,181.0,525.0,487.0,201.0,HIGH STOCKOUT RISK,REORDER NOW,788.9635265700483,325.6297101449275,0.0,2
16008,171.0,230.0,572.0,295.0,389.0,HIGH STOCKOUT RISK,REORDER NOW,46.08941176470588,60.7755294117647,0.0,2
84997D,169.5,219.0,558.0,347.0,331.0,HIGH STOCKOUT RISK,REORDER NOW,1438.347794779478,1372.0262826282628,0.0,2
22029,169.25,247.0,585.5,491.0,186.0,HIGH STOCKOUT RISK,REORDER NOW,249.48660036166368,94.51019891500904,0.0,2
22319,168.0,138.0,474.0,224.0,448.0,HIGH STOCKOUT RISK,REORDER NOW,179.47076923076924,358.94153846153847,0.0,2
82494L,167.5,186.0,521.0,437.0,233.0,HIGH STOCKOUT RISK,REORDER NOW,1395.877444825895,744.255022069642,0.0,2
21210,167.0,287.0,621.0,546.0,122.0,HIGH STOCKOUT RISK,REORDER NOW,962.8373106382978,215.13947234042556,0.0,2
22699,167.0,309.0,643.0,471.0,197.0,HIGH STOCKOUT RISK,REORDER NOW,1688.4046030687125,706.1904603068713,0.0,2
22139,166.75,173.0,506.5,235.0,432.0,HIGH STOCKOUT RISK,REORDER NOW,1307.1978644382543,2403.019052924791,0.0,2
22465,165.0,111.0,441.0,281.0,379.0,HIGH STOCKOUT RISK,REORDER NOW,521.8816700610998,703.8902240325866,0.0,2
22915,165.0,181.0,511.0,460.0,200.0,HIGH STOCKOUT RISK,REORDER NOW,534.3165829145728,232.3115577889447,0.0,2
22992,164.25,353.0,681.5,431.0,226.0,HIGH STOCKOUT RISK,REORDER NOW,975.2203846153844,511.36846153846153,0.0,2
10133,163.75,153.0,480.5,326.0,329.0,HIGH STOCKOUT RISK,REORDER NOW,242.85319587628868,245.0880412371134,0.0,2
21563,159.25,118.0,436.5,303.0,334.0,HIGH STOCKOUT RISK,REORDER NOW,1001.1719518716576,1103.6020855614972,0.0,2
22158,158.75,406.0,723.5,651.0,0.0,HIGH STOCKOUT RISK,REORDER NOW,2093.527108433735,0.0,0.0,2
22438,157.5,119.0,434.0,263.0,367.0,HIGH STOCKOUT RISK,REORDER NOW,506.0149717514124,706.1121468926553,0.0,2
21892,156.5,259.0,572.0,408.0,218.0,HIGH STOCKOUT RISK,REORDER NOW,639.1247999999999,341.49315294117645,0.0,2
22087,156.5,237.0,550.0,452.0,174.0,HIGH STOCKOUT RISK,REORDER NOW,1570.767077625571,604.6758219178082,0.0,2
22609,155.5,264.0,575.0,315.0,307.0,HIGH STOCKOUT RISK,REORDER NOW,178.70898058252425,174.17033980582522,0.0,2
85199S,155.5,189.0,500.0,396.0,226.0,HIGH STOCKOUT RISK,REORDER NOW,231.28304609218435,131.99486973947896,0.0,2
21564,154.5,105.0,414.0,145.0,473.0,HIGH STOCKOUT RISK,REORDER NOW,466.9336092715232,1523.1696357615897,0.0,2
22804,153.75,210.0,517.5,212.0,403.0,HIGH STOCKOUT RISK,REORDER NOW,667.3258297258297,1268.548629148629,0.0,2
21179,153.5,175.0,482.0,255.0,359.0,HIGH STOCKOUT RISK,REORDER NOW,338.25378640776694,476.20827184466015,0.0,2
22530,152.0,505.0,809.0,757.0,0.0,HIGH STOCKOUT RISK,REORDER NOW,374.1424789915966,0.0,0.0,2
22384,151.0,284.0,586.0,542.0,62.0,HIGH STOCKOUT RISK,REORDER NOW,1051.2181040036814,120.2500414173953,0.0,2
75049L,150.25,524.0,824.5,547.0,54.0,HIGH STOCKOUT RISK,REORDER NOW,805.044226044226,79.47420147420146,0.0,2
22558,148.0,313.0,609.0,568.0,24.0,HIGH STOCKOUT RISK,REORDER NOW,947.0555175224124,40.01643031784841,0.0,2
22419,147.5,223.0,518.0,404.0,186.0,HIGH STOCKOUT RISK,REORDER NOW,241.4112428298279,111.14478011472274,0.0,2
22608,146.75,331.0,624.5,430.0,157.0,HIGH STOCKOUT RISK,REORDER NOW,199.05,72.67639534883722,0.0,2
22142,145.25,281.0,571.5,332.0,249.0,HIGH STOCKOUT RISK,REORDER NOW,572.1892307692308,429.14192307692304,0.0,2
21506,144.75,229.0,518.5,499.0,80.0,HIGH STOCKOUT RISK,REORDER NOW,244.0117436661699,39.12011922503726,0.0,2
84029G,143.5,238.0,525.0,512.0,62.0,HIGH STOCKOUT RISK,REORDER NOW,2450.424130643612,296.7310470701249,0.0,2
22758,142.5,147.0,432.0,323.0,247.0,HIGH STOCKOUT RISK,REORDER NOW,493.6365732087228,377.4867912772586,0.0,2
22659,140.75,450.0,731.5,687.0,0.0,HIGH STOCKOUT RISK,REORDER NOW,1596.1954285714285,0.0,0.0,2
22059,140.0,167.0,447.0,191.0,369.0,HIGH STOCKOUT RISK,REORDER NOW,336.34793172690763,649.8030722891566,0.0,2
22083,139.25,257.0,535.5,391.0,166.0,HIGH STOCKOUT RISK,REORDER NOW,1411.6694796061884,599.3277074542897,0.0,2
21930,138.25,201.0,477.5,295.0,258.0,HIGH STOCKOUT RISK,REORDER NOW,745.1330975428145,651.6757259865972,0.0,2
22755,138.25,169.0,445.5,441.0,112.0,HIGH STOCKOUT RISK,REORDER NOW,430.8431102362204,109.42047244094486,0.0,2
82484,138.0,363.0,639.0,395.0,157.0,HIGH STOCKOUT RISK,REORDER NOW,3077.3821815154038,1223.1620316402996,0.0,2
22728,134.75,305.0,574.5,300.0,239.0,HIGH STOCKOUT RISK,REORDER NOW,1353.5531062124246,1078.330641282565,0.0,2
20982,134.25,113.0,381.5,169.0,368.0,HIGH STOCKOUT RISK,REORDER NOW,162.2743147208122,353.3547208121828,0.0,2
35471D,134.25,99.0,367.5,118.0,419.0,HIGH STOCKOUT RISK,REORDER NOW,145.39709497206704,516.282905027933,0.0,2
22549,134.0,160.0,428.0,287.0,249.0,HIGH STOCKOUT RISK,REORDER NOW,533.4786168741356,462.8438174273859,0.0,2
22576,134.0,163.0,431.0,404.0,132.0,HIGH STOCKOUT RISK,REORDER NOW,428.7159770114942,140.0755172413793,0.0,2
22595,133.5,624.0,891.0,863.0,0.0,HIGH STOCKOUT RISK,REORDER NOW,863.8020446096654,0.0,0.0,2
20718,133.0,225.0,491.0,362.0,170.0,HIGH STOCKOUT RISK,REORDER NOW,598.0552730236349,280.85468622656884,0.0,2
84692,133.0,313.0,579.0,344.0,188.0,HIGH STOCKOUT RISK,REORDER NOW,216.1296864111498,118.11738675958188,0.0,2
21485,132.75,234.0,499.5,318.0,213.0,HIGH STOCKOUT RISK,REORDER NOW,1737.1984680252988,1163.5952002810964,0.0,2
22064,132.75,177.0,442.5,221.0,310.0,HIGH STOCKOUT RISK,REORDER NOW,467.41055033557046,655.6437583892617,0.0,2
21169,132.0,246.0,510.0,370.0,158.0,HIGH STOCKOUT RISK,REORDER NOW,786.0143757881461,335.6493820933165,0.0,2
22037,131.75,122.0,385.5,223.0,304.0,HIGH STOCKOUT RISK,REORDER NOW,116.31413522012576,158.56276729559747,0.0,2
22593,131.25,210.0,472.5,231.0,294.0,HIGH STOCKOUT RISK,REORDER NOW,246.07026315789477,313.1803349282297,0.0,2
21481,130.75,228.0,489.5,481.0,42.0,HIGH STOCKOUT RISK,REORDER NOW,1805.8496385542169,157.68333642261354,0.0,2
22571,127.5,258.0,513.0,361.0,149.0,HIGH STOCKOUT RISK,REORDER NOW,376.4389503816793,155.37230916030532,0.0,2
17084R,126.0,832.0,1084.0,699.0,0.0,HIGH STOCKOUT RISK,REORDER NOW,142.02409090909092,0.0,0.0,2
22553,126.0,138.0,390.0,185.0,319.0,HIGH STOCKOUT RISK,REORDER NOW,351.4156082289803,605.954481216458,0.0,2
21156,125.5,249.0,500.0,398.0,104.0,HIGH STOCKOUT RISK,REORDER NOW,889.9296740273396,232.5444374342797,0.0,2
22095,125.5,154.0,405.0,272.0,230.0,HIGH STOCKOUT RISK,REORDER NOW,376.4516387959866,318.32307692307694,0.0,2
15036,124.5,1182.0,1431.0,1164.0,0.0,HIGH STOCKOUT RISK,REORDER NOW,1152.163300198807,0.0,0.0,2
21015,122.5,130.0,375.0,196.0,294.0,HIGH STOCKOUT RISK,REORDER NOW,150.13185185185185,225.1977777777778,0.0,2
72802C,122.25,109.0,353.5,94.0,395.0,HIGH STOCKOUT RISK,REORDER NOW,425.9221739130434,1789.779347826087,0.0,2
22563,121.5,248.0,491.0,485.0,1.0,HIGH STOCKOUT RISK,REORDER NOW,639.0630036630038,1.3176556776556778,0.0,2
84596B,121.25,148.0,390.5,302.0,183.0,HIGH STOCKOUT RISK,REORDER NOW,256.5068843537415,155.43297959183673,0.0,2
20983,120.5,131.0,372.0,268.0,214.0,HIGH STOCKOUT RISK,REORDER NOW,256.21450682852804,204.58919575113808,0.0,2
20803,119.25,116.0,354.5,186.0,291.0,HIGH STOCKOUT RISK,REORDER NOW,309.9144827586207,484.8662068965518,0.0,2
22150,119.0,156.0,394.0,212.0,264.0,HIGH STOCKOUT RISK,REORDER NOW,464.9164389233954,578.9525465838509,0.0,2
22113,116.25,215.0,447.5,260.0,205.0,HIGH STOCKOUT RISK,REORDER NOW,1091.2542635658915,860.412015503876,0.0,2
20996,116.0,310.0,542.0,471.0,0.0,HIGH STOCKOUT RISK,REORDER NOW,178.29516320474778,0.0,0.0,2
22458,115.75,133.0,364.5,163.0,300.0,HIGH STOCKOUT RISK,REORDER NOW,466.8206936416185,859.179190751445,0.0,2
84997C,115.25,199.0,429.5,352.0,109.0,HIGH STOCKOUT RISK,REORDER NOW,1416.8506995884777,438.7406995884774,0.0,2
22570,115.0,178.0,408.0,324.0,136.0,HIGH STOCKOUT RISK,REORDER NOW,1394.891470588235,585.51,0.0,2
22217,114.5,95.0,324.0,220.0,238.0,HIGH STOCKOUT RISK,REORDER NOW,308.8337899543379,334.1020091324201,0.0,2
23193,114.0,206.0,434.0,361.0,95.0,HIGH STOCKOUT RISK,REORDER NOW,979.9853591160222,257.89088397790056,0.0,2
84536A,113.75,90.0,317.5,187.0,268.0,HIGH STOCKOUT RISK,REORDER NOW,99.7661403508772,142.980350877193,0.0,2
22076,113.0,79.0,305.0,208.0,244.0,HIGH STOCKOUT RISK,REORDER NOW,359.6643799472296,421.9139841688655,0.0,2
22185,111.25,88.0,310.5,145.0,300.0,HIGH STOCKOUT RISK,REORDER NOW,278.7547872340425,576.7340425531914,0.0,2
22757,107.5,164.0,379.0,234.0,196.0,HIGH STOCKOUT RISK,REORDER NOW,355.270127388535,297.5766878980892,0.0,2
85078,107.25,120.0,334.5,260.0,169.0,HIGH STOCKOUT RISK,REORDER NOW,387.85696969696966,252.10703030303029,0.0,2
85034C,106.25,99.0,311.5,76.0,349.0,HIGH STOCKOUT RISK,REORDER NOW,220.7112380952381,1013.529238095238,0.0,2
22041,106.0,163.0,375.0,210.0,214.0,HIGH STOCKOUT RISK,REORDER NOW,744.5670796460178,758.7493097345133,0.0,2
84832,105.75,157.0,368.5,251.0,172.0,HIGH STOCKOUT RISK,REORDER NOW,271.7485514018691,186.21813084112148,0.0,2
22534,105.25,476.0,686.5,681.0,0.0,HIGH STOCKOUT RISK,REORDER NOW,336.7516859504132,0.0,0.0,2
22466,104.75,229.0,438.5,362.0,57.0,HIGH STOCKOUT RISK,REORDER NOW,856.215334987593,134.81843672456574,0.0,2
79030G,104.5,151.0,360.0,255.0,163.0,HIGH STOCKOUT RISK,REORDER NOW,756.5070247933885,483.5711570247934,0.0,2
84032B,104.5,164.0,373.0,152.0,266.0,HIGH STOCKOUT RISK,REORDER NOW,468.6741176470589,820.179705882353,0.0,2
84596F,104.5,106.0,315.0,186.0,232.0,HIGH STOCKOUT RISK,REORDER NOW,158.40796721311474,197.58413114754097,0.0,2
21785,102.75,172.0,377.5,259.0,152.0,HIGH STOCKOUT RISK,REORDER NOW,256.6407920792079,150.61544554455446,0.0,2
47591D,102.75,172.0,377.5,291.0,120.0,HIGH STOCKOUT RISK,REORDER NOW,615.368,253.76,0.0,2
82582,102.25,149.0,353.5,321.0,88.0,HIGH STOCKOUT RISK,REORDER NOW,754.445111111111,206.82607407407409,0.0,2
22619,101.25,105.0,307.5,186.0,219.0,HIGH STOCKOUT RISK,REORDER NOW,826.530709318498,973.173254520167,0.0,2
21167,100.5,96.0,297.0,204.0,198.0,HIGH STOCKOUT RISK,REORDER NOW,67.08939130434783,65.11617391304348,0.0,2
21993,100.5,89.0,290.0,151.0,251.0,HIGH STOCKOUT RISK,REORDER NOW,341.1976247848537,567.1563166953529,0.0,2
85178,100.5,189.0,390.0,162.0,240.0,HIGH STOCKOUT RISK,REORDER NOW,220.08572307692305,326.05292307692304,0.0,2
75131,99.75,161.0,360.5,237.0,162.0,HIGH STOCKOUT RISK,REORDER NOW,403.0742647058824,275.5191176470588,0.0,2
22580,99.25,114.0,312.5,236.0,161.0,HIGH STOCKOUT RISK,REORDER NOW,1447.1773359840956,987.2692842942348,0.0,2
21135,98.75,173.0,370.5,207.0,188.0,HIGH STOCKOUT RISK,REORDER NOW,414.1177251184834,376.1069194312796,0.0,2
21494,98.75,126.0,323.5,110.0,285.0,HIGH STOCKOUT RISK,REORDER NOW,283.33968565815326,734.1073673870334,0.0,2
22343,98.0,141.0,337.0,227.0,165.0,HIGH STOCKOUT RISK,REORDER NOW,187.9321052631579,136.60263157894735,0.0,2
